,error,N,N-MDEIM
0,0.034049880239689634,5,5
1,0.034014357042349515,5,10
2,0.03401405042092976,5,15
3,0.03401405074239183,5,30
4,0.03401405074252462,5,40
5,0.03401405074259381,5,50
6,0.0033598836907396514,10,5
7,0.00077984417617092,10,10
8,0.0007803629502162216,10,15
9,0.0007803622814426894,10,30
10,0.0007803622814074753,10,40
11,0.0007803622813816156,10,50
12,0.0033163794023680837,15,5
13,2.0802772737054667e-05,15,10
14,1.367069237135135e-05,15,15
15,1.36758241256375e-05,15,30
16,1.3675825003905288e-05,15,40
17,1.3675824870959962e-05,15,50
18,0.0033121777513793155,20,5
19,1.696423714266862e-05,20,10
20,7.964696306922962e-07,20,15
21,7.77784908899929e-07,20,30
22,7.777855346968359e-07,20,40
23,7.777854062632194e-07,20,50
24,0.003312626782497034,25,5
25,1.6965942855333363e-05,25,10
26,2.818749370975375e-07,25,15
27,1.5177564034175248e-07,25,30
28,1.5178519849104886e-07,25,40
29,1.5178508848058067e-07,25,50
30,0.003312659971388568,30,5
31,1.6951140067105213e-05,30,10
32,2.4623318159034687e-07,30,15
33,5.127064074065806e-08,30,30
34,5.250074917091665e-08,30,40
35,5.2512086424763467e-08,30,50
36,0.0033126492619169985,35,5
37,1.6985314856202556e-05,35,10
38,2.4697385793756135e-07,35,15
39,4.5470973223053704e-08,35,30
40,4.5619289723995326e-08,35,40
41,4.562721053042465e-08,35,50
