p,convection,mass,nonlinear-lifting,rhs,stiffness,trilinear
0.05,0.7370610512935177,3.570430137765267e-05,0.0288492820813674,0.0042056355832687155,3.956860477681154e-08,0.2531237965540064
0.1,0.03534756610907019,2.1460565890266288e-05,0.02884928208136738,0.00046057029142728973,2.160516681556903e-08,0.0006838567383959087
0.2,0.02091798847588048,1.6975588155292376e-05,0.007740494891763577,9.737567141136212e-05,4.330602691022819e-09,5.072433982466622e-07
0.4,0.003397594416414627,3.1505074426402166e-06,0.0010408664871502278,1.4352412339689863e-05,6.755163927092444e-10,1.4968807805383518e-09
0.6,0.0002767360362524637,2.4179932441187516e-07,4.860705295107888e-05,1.5010950897369436e-07,1.9716215940550333e-11,4.138532733768855e-11
0.8,9.373113356859076e-06,4.7822492696913375e-09,2.2328715559373238e-06,3.162618860949734e-09,6.65171125513371e-13,3.3017788980869477e-13
0.85,2.5499359705193576e-06,2.636337332722208e-09,3.629492718779448e-07,2.4556390796085153e-09,3.903422012892659e-13,
0.9,6.628841410643936e-07,1.2060090184369256e-09,1.9430872751972326e-07,5.553125381826236e-10,4.231450053523039e-13,
0.95,6.125086330838702e-07,6.280257799626743e-10,1.63152252204922e-07,2.6888215894398066e-10,3.5095345616204346e-13,
1.0,1.6921701886768553e-07,1.707091674545035e-10,6.478501004695801e-08,1.3981459190300151e-10,4.8289178090775863e-14,1.3013661309742781e-15
